Location,Data
Afghanistan,32247000
Albania,2892000
Algeria,39948000
Andorra,78000
Angola,25000000
Antigua and Barbuda,90000
Argentina,42426000
Armenia,3017106
Australia,23888000
Austria,8615955
Azerbaijan,9651000
Bahamas,377000
Bahrain,1412299
Bangladesh,160411000
Barbados,278000
Belarus,9524247
Belgium,11211064
Belize,368000
Benin,10583034
Bhutan,757000
Bolivia,10475500
Bosnia-Herzegovina,3650114
Botswana,2139900
Brazil,204519398
Brunei,413000
Bulgaria,7181000
Burkina Faso,18450400
Burundi,10742000
Cambodia,15417100
Cameroon,23739000
Canada,35833000
Cape Verde,514000
Central African Republic,5551900
Chad,13707000
Channel Islands,164000
Chile,18025000
China,1371920000
Colombia,48218000
Comoros,764000
Congo,4755000
"Congo, Dem. Rep. of",73340200
Costa Rica,4832000
Cote d'Ivoire,23281300
Croatia,4215000
Cuba,11139000
Curacao,158000
Cyprus,1153000
Czech Republic,10551227
Denmark,5676025
Djibouti,900000
Dominica,68000
Dominican Republic,10508000
Ecuador,16279000
Egypt,89074000
El Salvador,6366000
Equatorial Guinea,805000
Eritrea,5200000
Estonia,1310504
Ethiopia,98148000
Federated States of Micronesia,103000
Fiji,867000
Finland,5476031
France,64346720
French Guiana,251000
French Polynesia,263000
Gabon,1751000
Gambia,2021893
Georgia,3804000
Germany,81132000
Ghana,27672800
Greece,11520785
Grenada,111000
Guadeloupe,407000
Guam,184200
Guatemala,16183752
Guinea,10985600
Guinea-Bissau,1788000
Guyana,743000
Haiti,10924000
Honduras,8340000
"Hong Kong, SAR",7286402
Hungary,9835030
Iceland,330828
India,1314097616
Indonesia,255741973
Iran,78483446
Iraq,37056000
Ireland,4630308
Israel,8375384
Italy,62466780
Jamaica,2727000
Japan,126866820
Jordan,8118000
Kazakhstan,17544274
Kenya,44306000
Kiribati,113400
"Korea, North",24983000
"Korea, South",50713867
Kosovo,1802000
Kuwait,3837700
Kyrgyzstan,5951000
Laos,6903049
Latvia,1978454
Lebanon,6185000
Lesotho,1924381
Liberia,4503000
Libya,6317000
Liechtenstein,37570
Lithuania,2911203
Luxembourg,569202
"Macao, SAR",658611
Macedonia,2070100
Madagascar,23047400
Malawi,17174000
Malaysia,30788840
Maldives,346946
Mali,16749000
Malta,431486
Marshall Islands,55000
Martinique,379000
Mauritania,3641288
Mauritius,1262660
Mayotte,229890
Mexico,127017000
Moldova,4109000
Monaco,38088
Mongolia,3029335
Montenegro,622421
Morocco,34121000
Mozambique,25736000
Myanmar,52147000
Namibia,2482100
Nauru,10860
Nepal,28039000
Netherlands,16942373
New Caledonia,271974
New Zealand,4598066
Nicaragua,6262000
Niger,18884462
Nigeria,181839400
Norway,5194411
Oman,4201000
Pakistan,199047300
Palau,18000
Palestinian Territory,4481195
Panama,3980000
Papua New Guinea,7744600
Paraguay,7020000
Peru,31151643
Philippines,102965300
Poland,38478001
Portugal,10349000
Puerto Rico,3502000
Qatar,2394524
Reunion,851060
Romania,19838662
Russia,144302000
Rwanda,11331300
Samoa,194210
San Marino,33000
Sao Tome and Principe,195570
Saudi Arabia,31565109
Senegal,14690400
Serbia,7097190
Seychelles,92833
Sierra Leone,6502960
Singapore,5541121
Slovakia,5424051
Slovenia,2064000
Solomon Islands,641900
Somalia,11123000
South Africa,55041000
South Sudan,12152000
Spain,46368000
Sri Lanka,20868800
St. Kitts-Nevis,46000
St. Lucia,175000
St. Vincent & the Grenadines,110000
Sudan,40883900
Suriname,576000
Swaziland,1286000
Sweden,9804792
Switzerland,8292851
Syria,17065000
Taiwan,23468000
Tajikistan,8452153
Tanzania,52291000
Thailand,65121250
Timor-Leste,1244759
Togo,7231000
Tonga,103300
Trinidad and Tobago,1351000
Tunisia,11026000
Turkey,78215000
Turkmenistan,5373000
Tuvalu,11800
Uganda,40141000
Ukraine,42828300
United Arab Emirates,9577000
United Kingdom,65092000
United States,321234172
Uruguay,3562000
Uzbekistan,31290791
Vanuatu,277500
Venezuela,30620000
Vietnam,91714080
Western Sahara,604000
Yemen,26737000
Zambia,15473900
Zimbabwe,17354000
